Story Order,Story Order (Southern),Category,English Word,"Translation (and gender, if appropriate)",Gender,Part of Speech
381,381,Verbs,to lie down,sdraiare,,
669,669,Verbs,to dance,ballare,,
183,183,Verbs,to sleep,dormire,,
641,641,Verbs,to wake up,svegliarsi,,
320,320,Verbs,to sing,cantare,,
16,16,Verbs,to count,contare,,
601,601,Verbs,to marry,sposarsi,,
608,608,Verbs,to pray,pregare,,
429,429,Verbs,to win,vincere,,
348,348,Verbs,to lose,perdere,,
553,553,Verbs,to mix/stir,mescolare,,
695,695,Verbs,to bend,piegare,,
657,657,Verbs,to wash,lavare,,
293,293,Verbs,to cook,cucinare / cuocere,,
697,697,Verbs,to open,aprire,,
626,626,Verbs,to close,chiudere,,
491,491,Verbs,to write,scrivere,,
401,401,Verbs,to call,chiamare,,
534,534,Verbs,to turn,girare / voltare,,
411,411,Verbs,to build,costruire,,
473,473,Verbs,to teach,insegnare,,
631,631,Verbs,to grow,crescere,,
335,335,Verbs,to draw,disegnare,,
550,550,Verbs,to feed,nutrire,,
277,277,Verbs,to catch,catturare / prendere,,
239,239,Verbs,to throw,lanciare,,
540,540,Verbs,to clean,pulire,,
579,579,Verbs,to find,trovare,,
109,109,Verbs,to fall,cadere,,
188,188,Verbs,to push,spingere,,
256,256,Verbs,to pull,tirare,,
117,117,Verbs,to carry,portare,,
688,688,Verbs,to break,rompere,,
51,51,Verbs,to wear,mettere / indossare,,
338,338,Verbs,to hang,appendere,,
229,229,Verbs,to shake,girare,,
176,176,Verbs,to sign,segnare,,
252,252,Verbs,to beat,battere (a drum) / picchiare (a person),,
378,378,Verbs,to lift,sollevare,,
651,651,Verbs,to live,,,
771,771,,,,,
772,772,,Adjectives,Gli aggettivi (gender changes according to object),,
95,95,Adjectives,long,lungo/a,,
567,567,Adjectives,short (vs long),corto/a,,
160,160,Adjectives,tall,alto/a,,
49,49,Adjectives,short (vs tall),basso/a,,
715,715,Adjectives,wide,largo/a,,
212,212,Adjectives,narrow,stretto/a,,
350,350,Adjectives,big/large,grande,,
234,234,Adjectives,small/little,piccolo/a,,
497,497,Adjectives,slow,lento/a,,
426,426,Adjectives,fast,veloce,,
312,312,Adjectives,hot,caldo/a,,
78,78,Adjectives,cold,freddo/a,,
126,126,Adjectives,warm,caloroso/a,,
718,718,Adjectives,cool,fresco/a,,
42,42,Adjectives,new,nuovo/a,,
105,105,Adjectives,old (new),vecchio/a,,
18,18,Adjectives,young,giovane,,
654,654,Adjectives,old (young),vecchio/a / anziano/a,,
297,297,Adjectives,good,buono/a,,
440,440,Adjectives,bad,male,,
82,82,Adjectives,wet,bagnato/a,,
313,313,Adjectives,dry,asciugato/a / secco/a,,
655,655,Adjectives,sick,malato/a / ammalato/a,,
45,45,Adjectives,healthy,sano/a / in forma,,
59,59,Adjectives,loud,forte,,
171,171,Adjectives,quiet,piano,,
205,205,Adjectives,happy,felice,,
449,449,Adjectives,sad,triste,,
155,155,Adjectives,beautiful,bello/a,,
280,280,Adjectives,ugly,brutto/a,,
57,57,Adjectives,deaf,muto/a,,
196,196,Adjectives,blind,cieco/a,,
451,451,Adjectives,nice,simpatico/a,,
672,672,Adjectives,mean,antipatico/a,,
486,486,Adjectives,rich,ricco/a,,
514,514,Adjectives,poor,povero/a,,
326,326,Adjectives,thick,denso/a / grosso/a,,
230,230,Adjectives,thin,magro/a,,
544,544,Adjectives,expensive,costoso/a,,
162,162,Adjectives,cheap,economico/a,,
281,281,Adjectives,flat,piato/a,,
121,121,Adjectives,curved,curvato/a,,
352,352,Adjectives,male,maschile,,
483,483,Adjectives,female,femminile,,
54,54,Adjectives,tight,stretto/a,,
96,96,Adjectives,loose,sciolto/a / ampio/a,,
422,422,Adjectives,high,alto/a,,
547,547,Adjectives,low,basso/a,,
642,642,Adjectives,soft,morbido/a,,
106,106,Adjectives,hard,duro/a,,
581,581,Adjectives,deep,profondo/a,,
26,26,Adjectives,shallow,superficiale,,
659,659,Adjectives,clean,pulito/a,,
135,135,Adjectives,dirty,sporco/a,,
254,254,Adjectives,strong,forte,,
606,606,Adjectives,weak,debole,,
110,110,Adjectives,dead,morto/a,,
191,191,Adjectives,alive,vivo/a,,
257,257,Adjectives,heavy,pesante,,
703,703,Adjectives,light (heavy),leggero/a,,
65,65,Adjectives,dark,scuro/a,,
460,460,Adjectives,light (dark),chiaro/a,,
523,523,Adjectives,nuclear,nucleare,,
661,661,Adjectives,famous,famoso/a,,
773,773,,,,,
774,774,,Subject Pronouns,Pronomi,,
292,292,Subject Pronouns,I,io,,
284,284,Subject Pronouns,you (singular),tu,,
671,671,Subject Pronouns,he,lui /egli,,
380,380,Subject Pronouns,she,lei / ella,,
88,88,Subject Pronouns,it,esso/a,,
556,556,Subject Pronouns,we,noi,,
208,208,Subject Pronouns,you (plural as in 'y'all'),voi,,
650,650,Subject Pronouns,they,loro,,
